Date,Opinion,Pro,TweetText
9/17/18 14:51,Positive,,Thanks Vivek Ji. @vivekoberoi https://t.co/NZ2e6k9FgI'
9/17/18 14:50,Positive,,"Thanks for the wishes, Sachin Ji. @sachin_rt https://t.co/UmSLfan6m4'"
9/17/18 14:46,Positive,,Thanks a lot for your kind wishes. :) https://t.co/PDwnAvO1wW'
9/17/18 14:45,Positive,,Always a delight to be in Kashi. \n\nI thank the team of Anganwadi and ASHA workers who welcomed me this evening. They were extremely happy about the recent decisions taken by the Central Government for their welfare. https://t.co/gxZdaWI1V3'
9/17/18 8:14,Positive,,Mukul Ji thanks for the wishes. We all have to work together towards building a New India. @MukulAgarwal66 https://t.co/rZ7Zozh9rJ'
9/17/18 8:10,Positive,,Thanks Sourav Ji. @SGanguly99 https://t.co/x3BCi6XrrK'
9/16/18 9:27,Positive,,Every Indian will be happy to see this! Kudos to the @IndiaCoastGuard for proactively working towards Swachhata. https://t.co/Fi14NCmEhT'
9/16/18 9:26,Positive,,"Happy to see enthusiasm towards 'Swachhata Hi Seva' Movement in Arunachal Pradesh! https://t.co/aGkygwGzuz"""
9/15/18 11:48,Neutral,,"Extremely articulate and always inspiring, @SadhguruJV Ji talked at length about his work on Swachhata and made a passionate case for a dirt free India. #SHS18 https://t.co/cT0HjuJeNR'"
9/14/18 14:32,Positive,Pro Gov,"Wonderfully articulated and great that you are strengthening the 'Swachhata Hi Seva Movement' with your support. @SadhguruJV https://t.co/G44issA0Uc"""
9/13/18 14:40,Positive,,Glad to have interacted with the people of Arunachal West seat. The Party Karyakartas are happy about the unparalleled focus devoted to the Northeast and asked me about the plans ahead for the region\xe2\x80\x99s development. #MeraBoothSabseMazboot https://t.co/BkmussKll9'
9/13/18 14:38,Positive,,"Happy to have interacted with the industrious @BJP4India Karyakartas based in Hazaribagh. #MeraBoothSabseMazboot \n\nMariam Tuddu Ji talked about the extensive work done in the last four years, which have improved the lives of the poorest of the poor. https://t.co/Zfq5fGIma0'"
9/13/18 14:36,Positive,,Gulshan Kumar Ji from Nawada enjoys playing sports and works for the Party tirelessly. He is happy with the development work in Nawada. \n\nHe asked me how a @BJP4India Karyakarta should work towards strengthening the party and connect with maximum citizens. #MeraBoothSabseMazboot https://t.co/Bmu6ohjvoN'
9/11/18 14:07,Positive,,I am obviously happy you joined the interaction today but I hope your office work did not suffer. :) https://t.co/Vt2AkHinrE'
9/11/18 14:02,Positive,,A group of women based in Chhattisgarh are fighting malnutrition and have also used our festivals to mobilise more people in their movement. You would be happy to hear their story. https://t.co/Rns3znUFCy'
9/5/18 17:22,Neutral,,Deeply saddened by the loss of lives due to the capsizing of a boat near Guwahati in Assam. My thoughts are with the bereaved families. The State Government is working actively on the rescue operations and ensuring all possible support on the ground.'
9/5/18 14:51,Positive,,Amit Panghal has become a household name in India thanks to his success in boxing at the Asian Games 2018. Interacted with the medalist earlier today. #AsianGames2018 https://t.co/2u3ABbtnSI'
9/4/18 15:13,Positive,,"Known for developing unique tools for the teaching of English, Ms. Shesha Prasad from Kendriya Vidyalaya in Begumpet, Hyderabad has endeared herself to both students and fellow teachers. I wish her all the best in her continued endeavour of educating our new generation. https://t.co/T2ogCl7DBV'"
9/4/18 15:10,Positive,,"Shri Santosh Gaonkar is the Principal of Poira High School in Goa. Under his leadership, the school saw a significant improvement in Class X results. He also worked to make the sciences popular among pupils, with his students even taking part in the Children\xe2\x80\x99s Science Congress. https://t.co/hm56aHsV4L'"
9/4/18 14:56,Positive,,"Shri Murugan is a mathematics and science teacher in Nagaland. Through his innovative approach, he has helped students develop keen interest in these subjects. His efforts to organise the District Science Congress and teacher training workshops are highly appreciable. https://t.co/qx0ar3eftl'"
9/3/18 12:29,Positive,,Rightly pointed. Those living in remote areas will particularly benefit thanks to the #IndiaPostPaymentsBank. https://t.co/TWQN5sTBq5'
8/30/18 1:04,Positive,,Greetings to my valued colleague Shri @rsprasad on his birthday. May he be blessed with a long and healthy life.'
8/29/18 14:15,Positive,,"Talented and hardworking, @ArpinderSingh18 has secured the Gold in the Men's Triple Jump event. His performance has made every Indian happy. #AsianGames2018 https://t.co/Wi205tE2JD"""
8/28/18 8:50,Positive,,The formidable @Pvsindhu1 is one of India\xe2\x80\x99s most talented and inspiring athletes. Her skills and perseverance are noteworthy. \n\nShe wins the prized Silver Medal in Badminton at the #AsianGames2018. Her accomplishment makes 125 crore Indians happy and proud. https://t.co/kKmBxzmPXn'
8/26/18 12:23,Positive,,Well done Fouaad Mirza for winning the Silver in the Equestrian Eventing Individual event. His performance makes every Indian happy! #AsianGames2018'
8/26/18 6:17,Neutral,,"Deeply saddened by the demise of Senator John McCain. People of India join me in sincerely condoling the loss of a steadfast friend. His statesmanship, courage, conviction and understanding of global affairs will be missed. Condolences to his family and well-wishers. https://t.co/glYQx0EwYK'"
8/24/18 3:57,Positive,,Congratulations to the team of Rohit Kumar and Bhagwan Singh for winning the Bronze in the Men\xe2\x80\x99s Lightweight Doubles Sculls at the @asiangames2018. Their stupendous performance has made the entire country extremely happy. #AsianGames2018 https://t.co/2vVAyQVAc1'
8/23/18 12:09,Positive,,"In Valsad, laid the foundation stone for the Astole Water Supply Scheme. This scheme will have an extremely positive impact on the lives of the people in the region. By ensuring clean drinking water, it will save several lives from diseases. https://t.co/fLP2UxDccS'"
8/23/18 12:07,Positive,Pro Gov,"Today, over a lakh women from Gujarat got Raksha Bandhan gifts- their own homes! \n\nAt the programme in Valsad, I witnessed the handing over of these houses and gave certificates as well as employment letters to beneficiaries of various schemes. https://t.co/ghlDKct2rC https://t.co/hMHgjzO87H'"
8/23/18 3:47,Positive,,"Kuldip Nayar was an intellectual giant of our times. Frank and fearless in his views, his work spanned across many decades. His strong stand against the Emergency, public service and commitment to a better India will always be remembered. Saddened by his demise. My condolences.'"
8/21/18 9:21,Positive,,Kudos to @SanjeevRajput1 for the Silver Medal in the Men\xe2\x80\x99s 50m Rifle 3 Position at the @asiangames2018. You would be happy to know that Sanjeev has been making India proud since the 2006 Asian Games. His consistency and commitment are admirable. https://t.co/Rv0gz0Yk5M'
8/18/18 13:06,Positive,,A big thanks to @hhshkmohd for his gracious offer to support people of Kerala during this difficult time. His concern reflects the special ties between governments and people of India and UAE.'
8/16/18 12:12,Neutral,,"India grieves the demise of our beloved Atal Ji. \n\nHis passing away marks the end of an era. He lived for the nation and served it assiduously for decades. My thoughts are with his family, BJP Karyakartas and millions of admirers in this hour of sadness. Om Shanti.'"
8/14/18 10:21,Neutral,,"Saddened by the demise of Shri Balramji Dass Tandon, the Governor of Chhattisgarh. We have lost a widely respected public figure whose service to society will always be remembered. My thoughts are with his family and well-wishers in this hour of grief.'"
8/13/18 14:36,Positive,,Happy to know. \n\nBest wishes for your future endeavours. https://t.co/odvL9hp1D1'
8/12/18 5:47,Neutral,,"Sir VS Naipaul will be remembered for his extensive works, which covered diverse subjects ranging from history, culture, colonialism, politics and more. His passing away is a major loss to the world of literature. Condolences to his family and well wishers in this sad hour.'"
8/9/18 2:21,Positive,,"Thanks to the National Archives, I found some fascinating nuggets of history relating to the Quit India Movement. \n\nHere is a poem on Quit India by Atal Ji. This was published in 1946 in 'Abhyudaya' a newspaper associated with Shri Madan Mohan Malaviya Ji. https://t.co/YXhOkWMiuT"""
8/7/18 13:20,Neutral,,"Deeply saddened by the passing away of Kalaignar Karunanidhi. He was one of the senior most leaders of India. \n\nWe have lost a deep-rooted mass leader, prolific thinker, accomplished writer and a stalwart whose life was devoted to the welfare of the poor and the marginalised. https://t.co/jOZ3BOIZMj'"
8/7/18 13:07,Positive,,Thanks. Truly a special moment for the nation. https://t.co/FxDKonwgoc'
8/6/18 13:57,Positive,,Thanks for sharing this. \n\nOur Nari Shakti is adding valuable momentum to Swachh Bharat Mission. https://t.co/uJAuxcC8HV'
8/6/18 13:55,Positive,,Thanks. https://t.co/SPmNQkcys2'
8/3/18 15:54,Positive,,"Congratulations to all beneficiaries of Ujjwala Yojana, spread across the length and breadth of India. \n\nA few weeks ago, I had a wonderful interaction with some of the beneficiaries. Hearing about their journeys will make you very happy.  https://t.co/kyBXDzGstQ #Ujjwala5Crore'"
8/3/18 8:16,Positive,,"You would be happy to know that in the railways sector there is significant addition in capacity and rolling stock. Impetus has been given to adding new lines, doubling and gauge conversion. \n\nIn aviation, passenger traffic has grown by over 62% in four years.'"
7/30/18 13:57,Positive,,Our nation is built thanks to the countless sacrifices of several brave women and men. \n\nIt is not only our duty to tell India\xe2\x80\x99s youth about them but also make an India that they would be proud of. https://t.co/60MzNzKwHo'
7/29/18 10:47,Positive,,India is proud of our industry and industrialists. They contribute greatly to national growth.\n\nSome people publicly abuse industrialists but privately expect industrialists to kowtow in front of them.\n\nI am happy to engage with industry and work with them for India\xe2\x80\x99s prosperity. https://t.co/COh7Htmjyq'
7/29/18 4:45,Positive,,Happy to know this. https://t.co/YHeF1tBRCE'
7/22/18 3:18,Neutral,,Very sad to hear about your grandfather. My condolences in this sad hour. https://t.co/g4vv85LVzm'
7/22/18 3:16,Positive,,Happy to read this. Please congratulate her on my behalf. Amazing to see such high levels of awareness and passion among our youngsters for Swachhata. https://t.co/mabAStDMQs'
7/21/18 4:04,Negative,Pro Gov,"Congress leaders feel I cant see them in the eye. They are correct. I am too small compared to them. \nHow did 1 family treat Netaji Bose, Sardar Patel, Loknayak JP, Morarjibhai Desai, Charan Singh Ji, Chandra Shekhar Ji, Pranab Da, Deve Gowda Ji &amp; Sharad Pawar Ji? Everyone knows. https://t.co/2L9tzJUsi1'"
7/21/18 4:03,Negative,Pro Gov,"Before net banking was popular, there was 'phone banking' invented by the Congress.\n\nOne phone call and those favoured by the Congress got loans. This created the NPA problem, which our Government is solving. https://t.co/k4PWZCXz3N"""
7/21/18 4:02,Negative,Pro Gov,"I appeal to the Congress to stop calling the Surgical Strikes as \xe2\x80\x98Jumla Strikes.\xe2\x80\x99 \n\nThey can continue abusing me, my poverty, my background\xe2\x80\xa6.but please stop mocking the armed forces. https://t.co/ipO7cxVMSz'"
7/21/18 4:00,Negative,Pro Gov,The NDA has the support of more than 2/3rd members of the Lok Sabha. \n\nYesterday the nation saw yet again how the Congress is only interested in creating instability. Congress leaders did the same in 1999 and before that too! https://t.co/5cIjoU9YPH'
7/19/18 15:23,Neutral,,"Saddened by the demise of noted poet and lyricist Shri Gopaldas \xe2\x80\x98Neeraj.\xe2\x80\x99 \n\nShri Neeraj's unique style connected him with people from all walks of life, across generations. His works are unforgettable gems, which will live on and inspire many. Condolences to his admirers."""
7/14/18 15:49,Positive,,Happy to have interacted with eminent citizens from different walks of life. My relation with this ancient city is special. No words can do justice to the affection I have received from Kashi. https://t.co/BquuiX7Ibu https://t.co/xWfiGhY4zE'
7/12/18 8:24,Neutral,,"I am saddened beyond words on the passing away of Dada J.P. Vaswani. He lived for society and served the poor and needy with compassion. \n\nBlessed with immense wisdom, he was passionate about educating the girl child, cleanliness and furthering peace as well as brotherhood. https://t.co/h30bDmBW9d'"
7/11/18 13:26,Positive,Pro Gov,"Happy to be in Punjab. Addressed a huge rally of farmers in Malout, Muktsar district. \n\nPunjab is a land that has always made a rich contribution to our nation. \n\nThis is a land of courage, honour and hardwork. @BJP4Punjab @Akali_Dal_ https://t.co/Epns8vKQrq'"
7/6/18 13:36,Positive,,"Happy to have met my friend, PM @tsheringtobgay in New Delhi. We had extensive discussions on further increasing India-Bhutan cooperation. @PMBhutan https://t.co/oXaCieas6W'"
7/6/18 13:28,Positive,,"Wonderfully written by @arunjaitley Ji, highlighting Dr. Syama Prasad Mookerjee's commitment towards a strong and united India as well as the anti-democratic nature of the Congress. https://t.co/DuxxRsrU7h"""
7/6/18 2:00,Positive,,"Sharing a picture of Dr. Syama Prasad Mookerjee with Dr. Babasaheb Ambedkar. Both were Ministerial colleagues and had a futuristic vision for India's growth. https://t.co/WxyjKbyz26"""
7/6/18 1:56,Positive,,"On his Jayanti, I bow to Dr. Syama Prasad Mookerjee . \n\nDr. Mookerjee is remembered as a fine educationist, a wonderful administrator and a stalwart who fought for India's freedom as well as unity. https://t.co/vBtYKbN9S7"""
7/2/18 2:28,Neutral,,"We strongly condemn the terror attacks in Afghanistan yesterday. They are an attack on Afghanistan's multicultural fabric. My thoughts are with the bereaved families. I pray that the injured recover soon. India stands ready to assist the Afghanistan government in this sad hour."""
6/27/18 13:14,Positive,,Our Government is fully committed towards ensuring a happy and hassle free life for our valued senior citizens. https://t.co/9kEQHez2zw'
6/27/18 13:11,Positive,,"I am happy that the efforts towards electrifying every household in India are moving at the desired pace and we will continue to work hard so that 4 crore families have electricity connection in their homes, within the stipulated timeline.'"
6/24/18 10:57,neutral,,"A profound thinker, educationist, administrator and a prolific Parliamentarian, Dr. Syama Prasad Mookerjee motivates people across India. \n\nDuring #MannKiBaat today, I paid tributes to him. https://t.co/mkdv1D5tLv'"
6/19/18 2:37,Positive,,Birthday greetings to Congress President Shri @RahulGandhi. I pray for his long and healthy life.'
6/15/18 13:48,Positive,,"Happy to know. There are more such interactions planned in the coming weeks, which I invite you to take part in. https://t.co/sl7f3shKoU'"
6/15/18 11:50,Positive,,Khushboo from Bihar says that a job in the BPO has given her stability and boosted her self-confidence. Happy to hear her experiences. https://t.co/15iUZcI5Jn'
6/7/18 11:41,Positive,,A shopkeeper who runs a Pradhan Mantri Bhartiya Janaushadhi Pariyojna store said that he is happy to be serving people from remote areas. He also said that there was no corruption or harassment in the process to start the store. https://t.co/BTo8VaDU1S'
6/7/18 11:31,Positive,,Thanks to the Pradhan Mantri Rashtriya Dialysis Program Vijay Ji from Andhra Pradesh is saving money and Rukshana Ben from Chhota Udepur in Gujarat does not have to travel far away for treatment. https://t.co/fyhV04a6N7'
6/6/18 9:51,Positive,,Happy to see the Northeast emerge as a vibrant centre for start-ups. Heard the experiences of innovators based in Assam. https://t.co/qjraEjDHZN'
6/5/18 9:55,Positive,,"Chhattisgarh's Phulmati Ji says people are very happy to see her have her own house. https://t.co/86f7sX0WhF"""
5/31/18 13:59,Positive,,Happy to have interacted with the people of Singapore. Here is my speech at the memorable community programme earlier this evening. https://t.co/wh12SUVvuZ https://t.co/KOL0Y8Tbu0'
3/19/19 14:47,Neutral,Pro Gov,Another salvo from @priyankagandhi : the BJP\xe2\x80\x99s no-work-in-70-years-chant has exhausted its expiry date. Must say she\xe2\x80\x99s a sound bite warrior! Unfortunately she\xe2\x80\x99s arrived in UP 10 years too late https://t.co/0TqjE1Hkm2'
3/11/19 6:55,Neutral,Pro Gov,"Why, at this moment, @narendramodi and @BJP4India look like front runners to win the battle of 2019 https://t.co/DDpdesUJpa'"
3/8/19 12:40,Positive,pro Gov,"@PandaJay @BJP4India @AmitShah @narendramodi Whoa, thats a top post! Many congratulations!'"
3/7/19 2:59,Positive,,Many congratulations @PrannoyRoyNDTV !Hugely looking forward to diving into this \xf0\x9f\x92\x90 https://t.co/uB51MGanP7'
3/6/19 16:27,Negative,Against Gov,The choice facing @INCIndia in 2019 is does it want to build itself or does it want to weaken @BJP4India. For @BJP4India muscular nationalism post Pulwama -Balakot is an X factor which could backfire. I share my views on @ETNOWlive https://t.co/7n73WVUaZF'
3/3/19 17:30,Neutral,,"So a @BJP4India leader says there were no casualties at Balakot and an official tells @IndianExpress that IAF did not cross LoC. Will citizens of India ever get to know what really happened? The answer, my friends, is blowing in the wind'"
2/28/19 11:32,Negative,Against Gov,"Shocking that @narendramodi has so far not uttered a word on Wing Commander #Abhinandan, that his party colleague has implied surgical strike was for BJP's political benefit, that Defence Minister has so far been missing in action. Thank god Indira Gandhi was PM during Bangladesh"""
2/28/19 10:14,Negative,Against Gov,"Very serious revelation by Mr @BSYBJP. Was there political design behind sending that  hazardous IAF mission over Pak air space? Are politicians playing with the lives of India's bravest for their political gains? What if those pilots had been shot down?https://t.co/b3w0HlIs5G"""
2/25/19 9:25,Positive,,Wow this is fantastic news! Big congratulations to all involved with #PeriodEndOfSentence #Oscars2019 https://t.co/BAYakKfXqM'
2/22/19 6:57,Negative,Against Gov,A former @BJP4India  data analyst reveals how the party uses technology to fuel casteist and communal conflict to win elections https://t.co/yyHFaInKE6'
2/22/19 6:52,Positive,,Congratulations to PM for winning a peace prize. Perhaps in pursuit of peace in India he could 1) condemn violent language used by @tathagata2 2) condemn attacks on Kashmiris 3) condemn all lynchings post 2014 4)  apologise on behalf of his minister who garlanded lynching accused'
2/21/19 8:32,Negative,Against Gov,"@kavita_krishnan @BJP4India Yes its Jan last year but I tweeted it because its so revelatory of the remorseless so called ""nationalist"" mindset and probably explains the truly bizarre refusal  to even declare a period of national mourning/ suspend functions etc'"
2/21/19 6:40,Negative,Against Gov,"Army is there to die every day, is there any country where Army men don\xe2\x80\x99t die,  asks @BJP4India MP Nepal Singh. https://t.co/z25qVWFdxt'"
2/15/19 4:32,Positive,,Wow! Can\xe2\x80\x99t wait . Many congratulations \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd https://t.co/uB51MGanP7'
2/6/19 5:11,Negative,Against Gov,"No slavery sir. I argue that liberalism is for all, not for any one political party. Very happy to visit @BJP4India too if I am invited! \xf0\x9f\x98\x8e https://t.co/FAbCGdPilk'"
2/5/19 7:01,Negative,Against Gov,How #CBI backed off from Sarada scam -accused Mukul Roy and Hemanta Biswa Sarma once they joined @BJP4India https://t.co/eVeIipBoEM'
2/5/19 4:57,Negative,Against Gov,"How Rahul Gandhi's tweet trumped PM Modi, BJP on Budget day - India News https://t.co/LebwYqadB1"""
2/3/19 16:33,Negative,Against Gov,"Between dadas of @BJP4India and didi of Bengal, we're witnessing a perilous  breakdown of centre-state relations. On the one side the saffron juggernaut, on the other side, @MamataOfficial who brought down the mighty 3 decade old Left machine. This is the all-out battle of Bengal"""
2/3/19 5:15,Negative,Against Gov,"The Modi govt has hopelessly failed to tackle raging unemployment and to manage the economy, but don't assume this will necessarily lead to poll setbacks for @BJP4India , writes @swaminomics. https://t.co/YXKENooKna"""
1/30/19 7:23,Negative,Against Gov,"Investigative website @cobrapost alleges 31000 cr scam by DHFL promoters, setting up shell cos and donating 19.5 cr to @BJP4India in violation of law https://t.co/Tg28SYNfQm'"
1/29/19 6:44,Positive,,"Another #JLF wraps up.: brave festival of words, centre of excellence, a welcoming tent for the glorious world of the book, with all its deep thought and dazzle. Congrats to @SanjoyRoyTWA @NamitaGokhale_ @DalrympleWill for being institution builders of modern India!'"
1/26/19 4:07,Negative,Against Gov,"The inability of the Modi government to deliver administration, impartial governance and coherent policy, obsessively focused instead on votes for @BJP4India has led to it being trapped in symbols and tokens, as seen now in Padma Awards. https://t.co/l37JUXcDHQ'"
1/25/19 17:42,Negative,Against Gov,"46% prefer @narendramodi as PM, 34% prefer @RahulGandhi as PM. A year ago Modi scored 65% and Rahul 10%: findings of @IndiaToday poll.@MamataOfficial most preferred non BJP, non Cong PM: @IndiaToday poll'"
1/25/19 16:35,Positive,,Many congratulations to @CitiznMukherjee Pranab Babu for the Bharat Ratna. A consensus building leader of the old school when political rivals were debating opponents not mortal enemies . Onek subhechcha !'
1/24/19 15:41,Negative,Against Gov,India heading for a hung parliament in 2019 projects @IndiaToday opinion poll. NDA single largest &amp; @BJP4India single largest party but on the decline with vote shares falling. Opposition gains momentum as vote percentage climbs'
1/23/19 8:03,Positive,Pro Gov,The official entry of #priyankagandhi could cut both ways though. Will galvanise cadres but give @BJP4India another plank to target family raj in @INCIndia'
1/12/19 7:38,Negative,Against Gov,"A formidable challenge for @BJP4India takes shape in UP with SP-BSP tie up, but was it a mistake to leave out @INCIndia ? @BJP4India now on backfoot in UP , cannot take adv of anti incumbency as it rules in both delhi and lucknow . My take on @ETNOWlive https://t.co/I7tgk9zPsZ'"
1/12/19 7:10,Negative,Against Gov,The vow of the Samajwad: any insult of #Mayawati will be an insult to me: @yadavakhilesh. A warning to his own cadres as much as to @BJP4India. #Mayawati puts Guest House incident firmly in the past'
1/12/19 7:00,Negative,Against Gov,"When survival is at stake, the lifeboat must accommodate age-old foes. #Mayawati and @yadavakhilesh announce their alliance, Akhilesh showing political foresight in giving veteran Maya her due. #Mayawati launches blistering attack on BJP, doesn't spare Cong though."""
1/11/19 6:12,Negative,Against Gov,"The @INCIndia created the template of Big State power in 1970s, rampaging into areas where govt shouldn\xe2\x80\x99t. That template\xe2\x80\x99s been taken to a maximalist height by @BJP4India Big Statism. New vision of govt needed. #WhyIAmALiberal'"
1/8/19 8:18,Negative,Against Gov,Cynical Politics: Citizenship Amendment bill could be disastrous for BJP in north-east: https://t.co/UFG5R9hqtG via @TOIOpinion'
